machine_id,timestamp,temperature_C,vibration_mm_s,rpm,current_A,status
CNC_01,2026-04-10 09:26:00+00:00,73.18,1.79,1496.0,12.65,running
CNC_01,2026-04-10 09:27:00+00:00,70.25,1.87,1492.0,12.71,running
CNC_01,2026-04-10 09:28:00+00:00,70.39,1.79,1474.0,12.82,running
CNC_01,2026-04-10 09:29:00+00:00,72.62,1.85,1477.0,12.3,running
CNC_01,2026-04-10 09:30:00+00:00,72.24,1.74,1495.0,12.6,running
CNC_01,2026-04-10 09:31:00+00:00,73.11,1.78,1501.0,12.79,running
CNC_01,2026-04-10 09:32:00+00:00,73.2,1.76,1479.0,12.16,running
CNC_01,2026-04-10 09:33:00+00:00,70.51,1.83,1491.0,12.85,running
CNC_01,2026-04-10 09:34:00+00:00,71.25,1.78,1479.0,12.27,running
CNC_01,2026-04-10 09:35:00+00:00,70.4,1.8,1468.0,12.63,running
CNC_01,2026-04-10 09:36:00+00:00,71.73,1.85,1489.0,12.36,running
CNC_01,2026-04-10 09:37:00+00:00,73.44,1.84,1475.0,12.34,running
CNC_01,2026-04-10 09:38:00+00:00,72.79,1.75,1467.0,12.13,running
CNC_01,2026-04-10 09:39:00+00:00,73.24,1.82,1489.0,12.71,running
CNC_01,2026-04-10 09:40:00+00:00,71.82,1.81,1464.0,12.21,running
CNC_01,2026-04-10 09:41:00+00:00,72.73,1.8,1483.0,12.7,running
CNC_01,2026-04-10 09:42:00+00:00,72.58,1.81,1483.0,12.35,running
CNC_01,2026-04-10 09:43:00+00:00,69.97,1.79,1467.0,12.43,running
CNC_01,2026-04-10 09:44:00+00:00,73.53,1.76,1460.0,12.34,running
CNC_01,2026-04-10 09:45:00+00:00,71.11,1.82,1483.0,12.71,running
CNC_01,2026-04-10 09:46:00+00:00,72.71,1.79,1494.0,12.25,running
CNC_01,2026-04-10 09:47:00+00:00,69.94,1.74,1490.0,12.47,running
CNC_01,2026-04-10 09:48:00+00:00,70.54,1.8,1465.0,12.65,running
CNC_01,2026-04-10 09:49:00+00:00,71.77,1.78,1471.0,12.6,running
CNC_01,2026-04-10 09:50:00+00:00,71.4,1.74,1463.0,12.85,running
CNC_01,2026-04-10 09:51:00+00:00,73.77,1.83,1470.0,12.85,running
CNC_01,2026-04-10 09:52:00+00:00,73.2,1.83,1478.0,12.33,running
CNC_01,2026-04-10 09:53:00+00:00,70.26,1.86,1478.0,12.28,running
CNC_01,2026-04-10 09:54:00+00:00,71.16,1.81,1466.0,12.77,running
CNC_01,2026-04-10 09:55:00+00:00,73.12,1.83,1477.0,12.6,running
CNC_01,2026-04-10 09:56:00+00:00,72.36,1.82,1462.0,12.44,running
CNC_01,2026-04-10 09:57:00+00:00,70.02,1.8,1472.0,12.23,running
CNC_01,2026-04-10 09:58:00+00:00,70.29,1.81,1465.0,12.82,running
CNC_01,2026-04-10 09:59:00+00:00,72.35,1.78,1484.0,12.14,running
CNC_01,2026-04-10 10:00:00+00:00,73.98,1.8,1493.0,12.19,running
CNC_01,2026-04-10 10:01:00+00:00,71.94,1.8,1499.0,12.55,running
CNC_01,2026-04-10 10:02:00+00:00,71.89,1.77,1473.0,12.52,running
CNC_01,2026-04-10 10:03:00+00:00,71.74,1.73,1494.0,12.8,running
CNC_01,2026-04-10 10:04:00+00:00,70.45,1.81,1463.0,12.63,running
CNC_01,2026-04-10 10:05:00+00:00,71.05,1.82,1490.0,12.7,running
CNC_01,2026-04-10 10:06:00+00:00,70.31,1.86,1468.0,12.15,running
CNC_01,2026-04-10 10:07:00+00:00,72.24,1.78,1495.0,12.73,running
CNC_01,2026-04-10 10:08:00+00:00,71.21,1.87,1471.0,12.51,running
CNC_01,2026-04-10 10:09:00+00:00,70.95,1.86,1465.0,12.16,running
CNC_01,2026-04-10 10:10:00+00:00,71.72,1.87,1497.0,12.69,running
CNC_01,2026-04-10 10:11:00+00:00,73.69,1.86,1481.0,12.36,running
CNC_01,2026-04-10 10:12:00+00:00,73.18,1.82,1474.0,12.2,running
CNC_01,2026-04-10 10:13:00+00:00,73.07,1.77,1499.0,12.31,running
CNC_01,2026-04-10 10:14:00+00:00,70.37,1.85,1465.0,12.26,running
CNC_01,2026-04-10 10:15:00+00:00,72.43,1.85,1467.0,12.36,running
CNC_01,2026-04-10 10:16:00+00:00,73.2,1.87,1480.0,12.23,running
CNC_01,2026-04-10 10:17:00+00:00,69.9,1.76,1464.0,12.63,running
CNC_01,2026-04-10 10:18:00+00:00,70.37,1.8,1489.0,12.56,running
CNC_01,2026-04-10 10:19:00+00:00,70.7,1.84,1490.0,12.68,running
CNC_01,2026-04-10 10:20:00+00:00,70.41,1.75,1499.0,12.42,running
CNC_01,2026-04-10 10:21:00+00:00,71.14,1.8,1487.0,12.84,running
CNC_01,2026-04-10 10:22:00+00:00,71.08,1.86,1459.0,12.54,running
CNC_01,2026-04-10 10:23:00+00:00,72.58,1.74,1464.0,12.44,running
CNC_01,2026-04-10 10:24:00+00:00,74.01,1.81,1499.0,12.73,running
CNC_01,2026-04-10 10:25:00+00:00,71.86,1.84,1459.0,12.21,running
CNC_01,2026-04-10 10:26:00+00:00,73.42,1.84,1468.0,12.52,running
CNC_01,2026-04-10 10:27:00+00:00,72.46,1.85,1485.0,12.43,running
CNC_01,2026-04-10 10:28:00+00:00,71.46,1.79,1487.0,12.78,running
CNC_01,2026-04-10 10:29:00+00:00,71.8,1.76,1468.0,12.68,running
CNC_01,2026-04-10 10:30:00+00:00,73.37,1.74,1461.0,12.57,running
CNC_01,2026-04-10 10:31:00+00:00,70.47,1.85,1472.0,12.23,running
CNC_01,2026-04-10 10:32:00+00:00,73.82,1.75,1470.0,12.24,running
CNC_01,2026-04-10 10:33:00+00:00,70.34,1.73,1460.0,12.26,running
CNC_01,2026-04-10 10:34:00+00:00,70.07,1.81,1488.0,12.42,running
CNC_01,2026-04-10 10:35:00+00:00,71.21,1.8,1497.0,12.76,running
CNC_01,2026-04-10 10:36:00+00:00,70.03,1.75,1468.0,12.31,running
CNC_01,2026-04-10 10:37:00+00:00,72.31,1.79,1460.0,12.41,running
CNC_01,2026-04-10 10:38:00+00:00,72.1,1.74,1495.0,12.16,running
CNC_01,2026-04-10 10:39:00+00:00,73.84,1.74,1495.0,12.8,running
CNC_01,2026-04-10 10:40:00+00:00,74.07,1.84,1492.0,12.61,running
CNC_01,2026-04-10 10:41:00+00:00,73.21,1.75,1482.0,12.51,running
CNC_01,2026-04-10 10:42:00+00:00,73.54,1.79,1475.0,12.6,running
CNC_01,2026-04-10 10:43:00+00:00,70.99,1.75,1479.0,12.44,running
CNC_01,2026-04-10 10:44:00+00:00,70.84,1.78,1474.0,12.37,running
CNC_01,2026-04-10 10:45:00+00:00,71.48,1.83,1471.0,12.84,running
CNC_01,2026-04-10 10:46:00+00:00,73.8,1.8,1472.0,12.53,running
CNC_01,2026-04-10 10:47:00+00:00,73.51,1.82,1494.0,12.52,running
CNC_01,2026-04-10 10:48:00+00:00,72.57,1.77,1490.0,12.28,running
CNC_01,2026-04-10 10:49:00+00:00,72.84,1.85,1464.0,12.59,running
CNC_01,2026-04-10 10:50:00+00:00,70.25,1.83,1462.0,12.83,running
CNC_01,2026-04-10 10:51:00+00:00,70.43,1.87,1493.0,12.57,running
CNC_01,2026-04-10 10:52:00+00:00,73.22,1.84,1500.0,12.32,running
CNC_01,2026-04-10 10:53:00+00:00,72.39,1.74,1485.0,12.25,running
CNC_01,2026-04-10 10:54:00+00:00,72.28,1.81,1478.0,12.52,running
CNC_01,2026-04-10 10:55:00+00:00,73.14,1.84,1480.0,12.57,running
CNC_01,2026-04-10 10:56:00+00:00,73.86,1.75,1463.0,12.19,running
CNC_01,2026-04-10 10:57:00+00:00,72.68,1.79,1492.0,12.63,running
CNC_01,2026-04-10 10:58:00+00:00,71.28,1.86,1492.0,12.33,running
CNC_01,2026-04-10 10:59:00+00:00,71.41,1.77,1465.0,12.24,running
CNC_01,2026-04-10 11:00:00+00:00,73.88,1.79,1475.0,12.67,running
CNC_01,2026-04-10 11:01:00+00:00,72.23,1.86,1492.0,12.48,running
CNC_01,2026-04-10 11:02:00+00:00,71.47,1.87,1490.0,12.84,running
CNC_01,2026-04-10 11:03:00+00:00,70.35,1.85,1486.0,12.22,running
CNC_01,2026-04-10 11:04:00+00:00,72.38,1.83,1458.0,12.47,running
CNC_01,2026-04-10 11:05:00+00:00,73.41,1.77,1478.0,12.46,running
CNC_01,2026-04-10 11:06:00+00:00,71.14,1.86,1492.0,12.21,running
CNC_01,2026-04-10 11:07:00+00:00,74.15,1.85,1470.0,12.75,running
CNC_01,2026-04-10 11:08:00+00:00,70.3,1.87,1487.0,12.61,running
CNC_01,2026-04-10 11:09:00+00:00,70.23,1.86,1459.0,12.31,running
CNC_01,2026-04-10 11:10:00+00:00,70.46,1.84,1467.0,12.81,running
CNC_01,2026-04-10 11:11:00+00:00,72.68,1.73,1458.0,12.16,running
CNC_01,2026-04-10 11:12:00+00:00,72.46,1.84,1468.0,12.76,running
CNC_01,2026-04-10 11:13:00+00:00,70.09,1.84,1499.0,12.7,running
CNC_01,2026-04-10 11:14:00+00:00,72.86,1.85,1460.0,12.28,running
CNC_01,2026-04-10 11:15:00+00:00,70.38,1.8,1491.0,12.6,running
CNC_01,2026-04-10 11:16:00+00:00,73.52,1.75,1490.0,12.27,running
CNC_01,2026-04-10 11:17:00+00:00,71.01,1.83,1501.0,12.58,running
CNC_01,2026-04-10 11:18:00+00:00,70.08,1.82,1460.0,12.79,running
CNC_01,2026-04-10 11:19:00+00:00,72.91,1.75,1462.0,12.26,running
CNC_01,2026-04-10 11:20:00+00:00,74.07,1.79,1493.0,12.6,running
CNC_01,2026-04-10 11:21:00+00:00,72.31,1.75,1500.0,12.35,running
CNC_01,2026-04-10 11:22:00+00:00,72.34,1.83,1487.0,12.83,running
CNC_01,2026-04-10 11:23:00+00:00,70.48,1.8,1476.0,12.48,running
CNC_01,2026-04-10 11:24:00+00:00,70.36,1.75,1470.0,12.35,running
CNC_01,2026-04-10 11:25:00+00:00,71.69,1.82,1486.0,12.43,running
CNC_01,2026-04-10 11:26:00+00:00,71.61,1.76,1484.0,12.36,running
CNC_01,2026-04-10 11:27:00+00:00,70.0,1.79,1479.0,12.29,running
CNC_01,2026-04-10 11:28:00+00:00,72.31,1.81,1489.0,12.61,running
CNC_01,2026-04-10 11:29:00+00:00,72.66,1.77,1493.0,12.54,running
CNC_01,2026-04-10 11:30:00+00:00,71.7,1.82,1474.0,12.51,running
CNC_01,2026-04-10 11:31:00+00:00,73.02,1.86,1499.0,12.5,running
CNC_01,2026-04-10 11:32:00+00:00,72.09,1.84,1472.0,12.75,running
CNC_01,2026-04-10 11:33:00+00:00,71.97,1.74,1461.0,12.76,running
CNC_01,2026-04-10 11:34:00+00:00,70.08,1.77,1473.0,12.25,running
CNC_01,2026-04-10 11:35:00+00:00,71.2,1.83,1458.0,12.75,running
CNC_01,2026-04-10 11:36:00+00:00,73.54,1.78,1465.0,12.58,running
CNC_01,2026-04-10 11:37:00+00:00,70.36,1.78,1500.0,12.87,running
CNC_01,2026-04-10 11:38:00+00:00,73.18,1.77,1488.0,12.65,running
CNC_01,2026-04-10 11:39:00+00:00,71.52,1.82,1458.0,12.28,running
CNC_01,2026-04-10 11:40:00+00:00,72.11,1.75,1465.0,12.75,running
CNC_01,2026-04-10 11:41:00+00:00,74.11,1.81,1495.0,12.87,running
CNC_01,2026-04-10 11:42:00+00:00,70.45,1.79,1475.0,12.19,running
CNC_01,2026-04-10 11:43:00+00:00,73.1,1.79,1479.0,12.24,running
CNC_01,2026-04-10 11:44:00+00:00,70.62,1.86,1460.0,12.3,running
CNC_01,2026-04-10 11:45:00+00:00,71.1,1.8,1484.0,12.49,running
CNC_01,2026-04-10 11:46:00+00:00,70.2,1.76,1495.0,12.6,running
CNC_01,2026-04-10 11:47:00+00:00,72.64,1.82,1492.0,12.17,running
CNC_01,2026-04-10 11:48:00+00:00,71.42,1.81,1473.0,12.76,running
CNC_01,2026-04-10 11:49:00+00:00,71.92,1.84,1496.0,12.5,running
CNC_01,2026-04-10 11:50:00+00:00,73.77,1.81,1496.0,12.38,running
CNC_01,2026-04-10 11:51:00+00:00,71.99,1.8,1462.0,12.42,running
CNC_01,2026-04-10 11:52:00+00:00,73.8,1.82,1466.0,12.38,running
CNC_01,2026-04-10 11:53:00+00:00,70.67,1.73,1499.0,12.46,running
CNC_01,2026-04-10 11:54:00+00:00,71.17,1.81,1458.0,12.33,running
CNC_01,2026-04-10 11:55:00+00:00,72.88,1.82,1501.0,12.59,running
CNC_01,2026-04-10 11:56:00+00:00,71.9,1.84,1498.0,12.67,running
CNC_01,2026-04-10 11:57:00+00:00,74.0,1.84,1496.0,12.21,running
CNC_01,2026-04-10 11:58:00+00:00,73.0,1.79,1482.0,12.62,running
CNC_01,2026-04-10 11:59:00+00:00,74.03,1.87,1471.0,12.68,running
CNC_01,2026-04-10 12:00:00+00:00,73.08,1.78,1463.0,12.16,running
CNC_01,2026-04-10 12:01:00+00:00,73.2,1.8,1502.0,12.47,running
CNC_01,2026-04-10 12:02:00+00:00,74.06,1.79,1493.0,12.19,running
CNC_01,2026-04-10 12:03:00+00:00,72.24,1.84,1499.0,12.74,running
CNC_01,2026-04-10 12:04:00+00:00,70.0,1.78,1460.0,12.21,running
CNC_01,2026-04-10 12:05:00+00:00,72.76,1.83,1492.0,12.77,running
CNC_01,2026-04-10 12:06:00+00:00,73.03,1.84,1460.0,12.3,running
CNC_01,2026-04-10 12:07:00+00:00,72.53,1.85,1458.0,12.51,running
CNC_01,2026-04-10 12:08:00+00:00,72.77,1.73,1476.0,12.8,running
CNC_01,2026-04-10 12:09:00+00:00,72.74,1.76,1496.0,12.39,running
CNC_01,2026-04-10 12:10:00+00:00,73.53,1.77,1484.0,12.42,running
CNC_01,2026-04-10 12:11:00+00:00,71.03,1.86,1466.0,12.19,running
CNC_01,2026-04-10 12:12:00+00:00,71.32,1.83,1494.0,12.87,running
CNC_01,2026-04-10 12:13:00+00:00,71.12,1.79,1464.0,12.56,running
CNC_01,2026-04-10 12:14:00+00:00,74.15,1.83,1484.0,12.42,running
CNC_01,2026-04-10 12:15:00+00:00,73.79,1.8,1464.0,12.4,running
CNC_01,2026-04-10 12:16:00+00:00,70.13,1.76,1459.0,12.46,running
CNC_01,2026-04-10 12:17:00+00:00,72.58,1.78,1476.0,12.84,running
CNC_01,2026-04-10 12:18:00+00:00,73.09,1.81,1470.0,12.8,running
CNC_01,2026-04-10 12:19:00+00:00,70.86,1.77,1498.0,12.52,running
CNC_01,2026-04-10 12:20:00+00:00,73.05,1.81,1487.0,12.35,running
CNC_01,2026-04-10 12:21:00+00:00,70.88,1.77,1465.0,12.78,running
CNC_01,2026-04-10 12:22:00+00:00,71.06,1.81,1493.0,12.71,running
CNC_01,2026-04-10 12:23:00+00:00,71.73,1.8,1502.0,12.63,running
CNC_01,2026-04-10 12:24:00+00:00,73.36,1.86,1493.0,12.26,running
CNC_01,2026-04-10 12:25:00+00:00,72.27,1.74,1487.0,12.84,running
CNC_01,2026-04-10 12:26:00+00:00,72.06,1.79,1459.0,12.84,running
CNC_01,2026-04-10 12:27:00+00:00,70.28,1.73,1469.0,12.17,running
CNC_01,2026-04-10 12:28:00+00:00,71.81,1.8,1472.0,12.16,running
CNC_01,2026-04-10 12:29:00+00:00,70.32,1.78,1460.0,12.65,running
CNC_01,2026-04-10 12:30:00+00:00,70.73,1.77,1475.0,12.44,running
CNC_01,2026-04-10 12:31:00+00:00,69.85,1.74,1496.0,12.13,running
CNC_01,2026-04-10 12:32:00+00:00,72.04,1.8,1473.0,12.45,running
CNC_01,2026-04-10 12:33:00+00:00,73.21,1.85,1469.0,12.37,running
CNC_01,2026-04-10 12:34:00+00:00,70.89,1.8,1488.0,12.3,running
CNC_01,2026-04-10 12:35:00+00:00,71.27,1.86,1460.0,12.47,running
CNC_01,2026-04-10 12:36:00+00:00,72.91,1.75,1460.0,12.23,running
CNC_01,2026-04-10 12:37:00+00:00,73.81,1.73,1466.0,12.15,running
CNC_01,2026-04-10 12:38:00+00:00,70.32,1.82,1469.0,12.55,running
CNC_01,2026-04-10 12:39:00+00:00,72.39,1.85,1458.0,12.77,running
CNC_01,2026-04-10 12:40:00+00:00,72.51,1.75,1492.0,12.77,running
CNC_01,2026-04-10 12:41:00+00:00,70.94,1.86,1478.0,12.58,running
CNC_01,2026-04-10 12:42:00+00:00,74.09,1.78,1494.0,12.36,running
CNC_01,2026-04-10 12:43:00+00:00,73.29,1.81,1467.0,12.44,running
CNC_01,2026-04-10 12:44:00+00:00,71.21,1.74,1459.0,12.38,running
CNC_01,2026-04-10 12:45:00+00:00,69.92,1.75,1490.0,12.66,running
CNC_01,2026-04-10 12:46:00+00:00,73.03,1.77,1497.0,12.57,running
CNC_01,2026-04-10 12:47:00+00:00,70.38,1.75,1489.0,12.25,running
CNC_01,2026-04-10 12:48:00+00:00,72.03,1.87,1458.0,12.14,running
CNC_01,2026-04-10 12:49:00+00:00,74.13,1.81,1463.0,12.8,running
CNC_01,2026-04-10 12:50:00+00:00,73.64,1.81,1485.0,12.33,running
CNC_01,2026-04-10 12:51:00+00:00,70.06,1.81,1471.0,12.62,running
CNC_01,2026-04-10 12:52:00+00:00,73.45,1.73,1484.0,12.3,running
CNC_01,2026-04-10 12:53:00+00:00,73.62,1.76,1485.0,12.54,running
CNC_01,2026-04-10 12:54:00+00:00,71.55,1.83,1490.0,12.55,running
CNC_01,2026-04-10 12:55:00+00:00,73.12,1.87,1476.0,12.51,running
CNC_01,2026-04-10 12:56:00+00:00,69.89,1.84,1481.0,12.43,running
CNC_01,2026-04-10 12:57:00+00:00,70.25,1.86,1475.0,12.64,running
CNC_01,2026-04-10 12:58:00+00:00,70.49,1.87,1466.0,12.27,running
CNC_01,2026-04-10 12:59:00+00:00,73.55,1.86,1467.0,12.48,running
CNC_01,2026-04-10 13:00:00+00:00,73.01,1.85,1475.0,12.51,running
CNC_01,2026-04-10 13:01:00+00:00,73.04,1.83,1493.0,12.55,running
CNC_01,2026-04-10 13:02:00+00:00,70.29,1.86,1496.0,12.72,running
CNC_01,2026-04-10 13:03:00+00:00,70.27,1.76,1491.0,12.14,running
CNC_01,2026-04-10 13:04:00+00:00,74.07,1.78,1490.0,12.79,running
CNC_01,2026-04-10 13:05:00+00:00,71.54,1.77,1485.0,12.56,running
CNC_01,2026-04-10 13:06:00+00:00,71.61,1.81,1499.0,12.48,running
CNC_01,2026-04-10 13:07:00+00:00,70.69,1.78,1475.0,12.22,running
CNC_01,2026-04-10 13:08:00+00:00,70.54,1.83,1473.0,12.84,running
CNC_01,2026-04-10 13:09:00+00:00,70.89,1.74,1491.0,12.79,running
CNC_01,2026-04-10 13:10:00+00:00,71.04,1.76,1466.0,12.52,running
CNC_01,2026-04-10 13:11:00+00:00,71.86,1.77,1460.0,12.49,running
CNC_01,2026-04-10 13:12:00+00:00,73.98,1.82,1480.0,12.21,running
CNC_01,2026-04-10 13:13:00+00:00,70.93,1.77,1492.0,12.78,running
CNC_01,2026-04-10 13:14:00+00:00,73.74,1.87,1501.0,12.84,running
